t_ms,seq,node,sensor_id,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
3678,2,N01,IMU01,-0.00198,0.000652,1.007594,0.030351,0.340427,0.324336,41.35
3878,3,N01,IMU01,-0.001736,-0.002277,1.002956,0.045618,0.11142,0.171664,41.54
4078,4,N01,IMU01,-2.7e-05,0.001141,0.998561,-0.091786,0.080885,-0.148947,41.4
4278,5,N01,IMU01,-0.000271,0.00407,1.003932,0.030351,0.141954,0.248,41.4
4478,6,N01,IMU01,-0.00076,-0.000813,1.001491,0.045618,0.050351,0.415939,41.4
4678,7,N01,IMU01,-0.000271,-0.003254,0.998073,0.121954,0.00455,0.095328,41.4
4878,8,N01,IMU01,-0.002957,0.001629,1.005397,-0.030718,0.065618,-0.194748,41.68
5078,9,N01,IMU01,-0.001248,0.000896,0.998317,0.060885,0.141954,0.186931,41.59
5278,10,N01,IMU01,-0.004422,-0.002521,0.998561,0.015084,-0.117588,0.324336,41.54
5478,11,N01,IMU01,0.002658,0.003826,1.00027,-0.000183,-0.209191,0.018992,41.54
5678,12,N01,IMU01,0.000949,0.001141,1.002223,-0.030718,0.096153,-0.011542,41.54
5878,13,N01,IMU01,-0.00198,0.001629,1.000758,0.121954,-0.071786,-0.026809,41.68
6078,14,N01,IMU01,0.00217,-8e-05,1.001002,-0.061252,0.416763,0.095328,41.68
6278,15,N01,IMU01,0.000949,0.001873,1.00027,0.030351,-0.056519,0.110595,41.68
6478,16,N01,IMU01,-0.002225,0.005047,0.998805,0.076153,-0.010718,-0.042076,41.54
6678,17,N01,IMU01,0.001682,-0.000813,0.995143,-0.045985,0.035084,0.080061,41.68
6878,18,N01,IMU01,-0.001492,0.000896,1.002956,0.030351,0.126687,0.110595,41.4
7078,19,N01,IMU01,-0.00076,0.002361,1.0032,0.015084,0.080885,0.248,41.59
7278,20,N01,IMU01,-0.00198,-0.001301,0.999538,-0.091786,0.21829,0.446473,41.87
